k,Baumannia,Psychromonas,Sphingomonas,Roseiflexus,Hydrogenobaculum,Alteromonas,Denitrovibrio,Frankia,Candidatus,Corynebacterium
3,330.985546,325.9409375,302.033453,270.1070383,270.8307517,329.7718744,291.0136422,304.5894308,262.3035325,314.238638,265.1133849
3,303.7195499,300.726161,296.9087872,308.2140639,291.6995678,306.8601582,291.1497955,294.1175591,307.8129164,302.5865786,303.5620089
3,327.5475611,318.1565518,297.86248,277.9352829,276.1326905,314.8033909,292.5333579,297.4357909,270.2693672,305.1006178,268.8345401
3,324.8005373,319.7655061,301.9979378,268.5879568,277.2701499,320.4496396,294.8970529,300.2003687,275.2201733,305.9016031,275.3480659
3,304.7978023,296.8320441,291.2082502,306.1715023,290.4337471,300.2497699,289.0597815,294.2699098,302.4656149,293.1105402,301.9387276
3,345.6872476,338.0398106,300.550455,245.8876787,265.855166,336.6266892,296.1940709,302.7011973,240.3647568,322.1545076,246.1588583
3,259.0081738,259.0081738,265.4402,343.1984028,311.8105857,267.3128689,272.4505013,272.2020006,371.7343908,262.6614618,374.1206392
3,275.7133532,275.7133532,277.0295631,335.4396187,310.4470582,264.4133076,278.0216492,277.9033808,346.3112681,269.0620009,348.5528013
3,295.2123999,295.2123999,290.2140983,312.8564699,297.6980997,289.0019534,286.3469838,288.3390446,312.5371732,288.3453638,305.8272345
3,285.8472186,285.8163651,283.5891435,328.6931307,306.7432589,282.3168004,284.3720134,281.2522346,333.4210992,282.7694707,334.5745688
3,274.6318261,274.6318261,276.5028464,331.6141327,306.7691828,271.355992,278.9095188,283.9933056,341.7303188,271.9562585,339.7172679
3,275.3406068,275.3406068,279.5170306,334.7929469,311.5700885,273.329236,283.0858959,283.9009998,346.5345572,278.9198191,345.3950597
3,279.3295815,277.1085172,279.3089865,320.8038674,302.0608518,272.8548891,286.4523886,277.9180265,338.6796518,273.025293,337.3280378
3,259.7229345,259.7229345,268.4267847,321.3102477,297.5318389,256.2134601,269.8121112,273.7455364,347.0975513,262.4002793,352.665942
3,274.8774884,274.8774884,276.7397826,330.1027264,307.6612539,271.3033468,279.298852,277.2596475,341.1427926,273.0576204,341.897198
3,280.5769582,280.5769582,280.9523807,330.0939175,300.0951254,288.5473807,280.0489303,285.8784516,332.5169358,284.351018,333.2002081
3,304.8483006,304.8483006,291.1374168,310.0896517,294.6476636,298.5909433,289.0340205,289.9750997,305.213046,295.1091969,300.2480664
3,268.2355101,268.2355101,268.0145468,336.8650943,307.7725603,257.7507571,270.7062176,269.4485006,351.80737,261.5152547,356.4193963
3,293.9233474,292.1832728,291.1525384,316.6246009,300.252902,281.2806815,286.1310796,281.0263518,318.1298793,285.0518097,315.0225542
3,270.7459418,270.3554151,279.1818837,345.7648373,313.958146,267.9205641,281.8856182,276.5151959,354.2872556,272.7148095,354.3224243
3,279.4816709,279.4816709,282.2582952,321.1802405,299.9302262,277.3246426,284.013158,282.6327312,325.7587212,279.2156171,324.9029895
3,292.7446317,291.7861526,281.4152737,304.40336,289.641013,282.350374,280.7101891,279.7999409,318.0861823,283.7390198,321.6900524
3,274.0052509,274.0052509,275.8843841,330.7925888,308.431698,265.6502993,280.2965587,273.7529404,340.8683794,268.0530195,342.0950223
3,284.4740574,284.4740574,280.9131982,322.1529533,295.3669478,281.9174007,280.809824,281.739978,330.8373204,280.2890944,329.2622784
3,282.0123159,282.0123159,280.7364846,328.7771646,306.2273225,277.2718783,285.9515634,283.7080268,339.9601127,279.2965722,339.1478759
3,263.606678,263.606678,260.6808107,345.8580253,311.4951326,252.6722177,266.7504038,266.3460214,356.9224275,259.3509394,365.780067
3,301.3041949,301.3041949,289.6195416,296.5186723,291.4573644,290.6829639,285.3571684,282.9104456,294.5159718,288.3675316,291.254698
3,273.2085779,273.2085779,272.3139924,334.4304575,305.773907,268.9263525,277.7612239,277.731834,351.2852874,269.0186166,351.5022106
3,257.1959661,256.9465373,257.6639914,346.766652,315.4587114,254.6050677,271.9553974,264.1551644,376.8796757,252.7637601,382.6011499
3,276.002374,276.002374,274.1555446,325.0652296,300.1784899,267.633074,273.2117653,274.9214615,332.8803384,272.7135747,338.2409376
3,278.7603782,278.7603782,278.3139983,333.5817109,305.2331082,272.540273,278.4127023,276.0189935,343.8678131,274.8847296,341.4990272
3,276.6428663,276.6428663,277.2477345,335.196481,304.2050874,280.631546,276.5160004,281.7070341,344.6584413,278.9035215,346.4122262
3,285.6397723,285.6397723,278.1761464,327.4433851,304.0935634,276.27636,278.2169577,282.2947353,330.4631883,277.2956616,330.806115
3,277.1902565,277.1902565,276.5118004,329.9988205,304.2174991,263.1996926,276.5526156,271.1006258,334.5157232,272.4623737,333.3440593
